event_a,event_b,Column3,prob_b_given_a,pair seen x times,Insgesamt: die Dauer,comments
(m_gaze_at),(mother-speech),,0.882,8,1875105.00,
(mo_smile),(mother-speech),,0.857,5,1289596.00,
(i_gaze_at),(mother-speech),,0.836,10,1792532.00,
"(m_gaze_at, mo_smile)",(mother-speech),,0.78,4,770215.00,
"(m_gaze_at, i_gaze_at)",(mother-speech),,0.682,6,988848.00,
(i_gaze_at),(m_gaze_at),,0.645,265,1383691.00,
"(mother-speech, i_gaze_at)",(m_gaze_at),,0.644,262,1375068.00,
(i_gaze_at),"(mother-speech,",m_gaze_at),0.642,265,1377368.00,
"(mo_smile, i_gaze_at)",(m_gaze_at),,0.629,108,579072.00,
"(mother-speech, mo_smile, i_gaze_at)",(m_gaze_at),,0.628,107,576674.00,
(m_gaze_at),(i_gaze_at),,0.627,139,1333785.00,
"(mo_smile, i_gaze_at)","(mother-speech,",m_gaze_at),0.626,108,576884.00,
"(mother-speech, m_gaze_at)",(i_gaze_at),,0.625,139,1326682.00,
(m_gaze_at),"(mother-speech,",i_gaze_at),0.625,142,1328982.00,
"(mother-speech, mo_smile, m_gaze_away, i_gaze_away)",(inf_smile),,0.607,1,13555.00,
"(mo_smile, m_gaze_away, i_gaze_away)",(inf_smile),,0.607,1,13555.00,
"(mo_smile, m_gaze_away, i_gaze_away)","(mother-speech,",inf_smile),0.607,1,13555.00,
"(mother-speech, m_gaze_at, mo_smile)",(i_gaze_at),,0.575,65,565782.00,
"(m_gaze_at, mo_smile)",(i_gaze_at),,0.575,65,567219.00,
"(m_gaze_at, mo_smile)","(mother-speech,",i_gaze_at),0.573,66,565992.00,
"(mother-speech, mo_smile)",(m_gaze_at),,0.568,179,851451.00,
(mo_smile),(m_gaze_at),,0.567,180,853848.00,
(mo_smile),"(mother-speech,",m_gaze_at),0.566,180,851661.00,
(mother-speech),(i_gaze_at),,0.54,258,2129376.00,
"(mother-speech, m_gaze_away, i_gaze_away)",(inf_smile),,0.539,1,14876.00,
"(m_gaze_away, i_gaze_away)","(mother-speech,",inf_smile),0.539,1,14876.00,
"(m_gaze_away, i_gaze_away)",(inf_smile),,0.539,1,14876.00,
"(mother-speech, mo_smile)",(i_gaze_at),,0.539,93,808096.00,
(mo_smile),(i_gaze_at),,0.538,94,810653.00,
(mo_smile),"(mother-speech,",i_gaze_at),0.537,94,808306.00,
(mother-speech),(m_gaze_at),,0.536,498,2117016.00,
(inf_smile),(mother-speech),,0.533,3,596888.00,
"(mother-speech, i_gaze_at, inf_smile)",(m_gaze_at),,0.521,56,304521.00,
"(i_gaze_at, inf_smile)","(mother-speech,",m_gaze_at),0.521,56,304521.00,
"(i_gaze_at, inf_smile)",(m_gaze_at),,0.521,56,304521.00,
"(mo_smile, i_gaze_at, inf_smile)","(mother-speech,",m_gaze_at),0.514,35,167487.00,
"(mo_smile, i_gaze_at, inf_smile)",(m_gaze_at),,0.514,35,167487.00,
"(mother-speech, mo_smile, i_gaze_at, inf_smile)",(m_gaze_at),,0.514,35,167487.00,
"(mo_smile, i_gaze_at)",(mother-speech),,0.507,4,467367.00,
(m_gaze_away),(mo_smile),,0.507,6,40918.00,
"(mother-speech, m_gaze_away, i_gaze_at_object)",(mo_smile),,0.5,2,7573.00,
"(m_gaze_away, i_gaze_at_object)",(mo_smile),,0.5,2,7573.00,
"(m_gaze_away, i_gaze_at_object)","(mother-speech,",mo_smile),0.5,2,7573.00,
"(m_gaze_at, i_gaze_at, i_gaze_away)",(inf_smile),,0.5,1,0.04,
"(m_gaze_at, i_gaze_at, i_gaze_away)","(mother-speech,",inf_smile),0.5,1,0.04,
"(mother-speech, m_gaze_at, i_gaze_at, i_gaze_away)",(inf_smile),,0.5,1,0.04,
"(mother-speech, i_gaze_at, i_gaze_away)",(inf_smile),,0.5,1,0.08,
"(i_gaze_at, i_gaze_away)",(inf_smile),,0.5,1,0.08,
"(i_gaze_at, i_gaze_away)","(mother-speech,",inf_smile),0.5,1,0.08,
"(i_gaze_at, inf_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.5,1,0.04,
"(i_gaze_at, inf_smile, i_gaze_away)","(mother-speech,",m_gaze_at_object),0.5,1,0.04,
"(mother-speech, i_gaze_at, inf_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.5,1,0.04,
"(mother-speech, mo_smile, inf_smile)",(i_gaze_at),,0.497,26,251455.00,
"(mo_smile, inf_smile)",(i_gaze_at),,0.495,26,251455.00,
"(mo_smile, inf_smile)","(mother-speech,",i_gaze_at),0.495,26,251455.00,
"(mother-speech, m_gaze_away)",(mo_smile),,0.494,5,38518.00,
(i_gaze_at_object),(m_gaze_at_obje,ct),0.492,107,435268.00,
(i_gaze_at_object),"(mother-speech,",m_gaze_at_object),0.492,107,435268.00,
"(mother-speech, i_gaze_at_object)",(m_gaze_at_obje,ct),0.492,107,435268.00,
"(mother-speech, m_gaze_away, i_gaze_away)","(mo_smile, inf_",smile),0.491,1,13555.00,
"(m_gaze_away, i_gaze_away)","(mother-speech,","mo_smile, inf_smile)",0.491,1,13555.00,
"(m_gaze_away, i_gaze_away)","(mo_smile, inf_",smile),0.491,1,13555.00,
"(mother-speech, m_gaze_at, inf_smile)",(i_gaze_at),,0.483,38,300846.00,
"(m_gaze_at, inf_smile)","(mother-speech,",i_gaze_at),0.483,38,300846.00,
"(m_gaze_at, inf_smile)",(i_gaze_at),,0.483,38,300846.00,
"(m_gaze_at, mo_smile, inf_smile)","(mother-speech,",i_gaze_at),0.477,20,167815.00,
"(m_gaze_at, mo_smile, inf_smile)",(i_gaze_at),,0.477,20,167815.00,
"(mother-speech, m_gaze_at, mo_smile, inf_smile)",(i_gaze_at),,0.477,20,167815.00,
(m_gaze_away),"(mother-speech,",mo_smile),0.477,5,38518.00,
(m_gaze_away),(inf_smile),,0.476,2,38.45,
"(mother-speech, mo_smile, inf_smile)",(m_gaze_at),,0.471,51,238037.00,
"(mo_smile, inf_smile)",(m_gaze_at),,0.468,51,238037.00,
"(mo_smile, inf_smile)","(mother-speech,",m_gaze_at),0.468,51,238037.00,
"(mother-speech, m_gaze_away)",(inf_smile),,0.463,2,36.05,
"(mother-speech, mo_smile, m_gaze_away)",(inf_smile),,0.449,1,20.32,
