"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mo_smile;m_gaze_at)","(mother-speech;inf_smile)",0.207,183,159.132,0.0,0.0,0.0,20
"(i_gaze_at;inf_smile)","(mo_smile;m_gaze_at)",0.413,68,181.76,0.0,0.5833333333333334,0.0,12
"(mother-speech;i_gaze_at;infant_voc)","(mo_smile;inf_smile)",0.254,2,3.814,0.0,1.0,0.0,7
"(mother-speech;m_gaze_at_object)","(infant_voc)",0.144,33,22.078,0.02702702702702703,0.972972972972973,0.6216216216216216,37
"(i_gaze_at)","(infant_voc)",0.104,301,210.529,0.3090909090909091,0.03636363636363636,0.2545454545454545,55
"(m_gaze_at;mother-speech;inf_smile;i_gaze_away)","(mo_smile)",0.603,2,2.288,0.047619047619047616,0.8095238095238095,0.5238095238095238,21
"(mo_smile;m_gaze_at)","(i_gaze_at)",0.727,52,559.084,0.0,0.625,0.0,24
"(mo_smile)","(m_gaze_at;inf_smile)",0.231,171,298.392,0.0,0.16883116883116883,0.0,77
"(mo_smile)","(mother-speech;inf_smile)",0.175,255,226.34,0.0,0.16666666666666666,0.0,78
"(m_gaze_at;i_gaze_at)","(infant_voc)",0.128,228,162.099,0.05714285714285714,0.0,0.0,70
"(mo_smile;m_gaze_at;infant_voc)","(mother-speech;inf_smile)",0.25,13,8.62,0.0,0.3333333333333333,0.0,6
"(mother-speech;i_gaze_at)","(m_gaze_at)",0.611,70,277.227,0.0,0.8088235294117647,0.0,68
"(mo_smile;m_gaze_at;i_gaze_at)","(infant_voc)",0.131,94,69.873,0.2857142857142857,0.0,0.0,7
"(m_gaze_at;i_gaze_at)","(mother-speech;inf_smile)",0.159,248,201.581,0.05263157894736842,0.017543859649122806,0.0,57
"(mo_smile;i_gaze_at;inf_smile)","(mother-speech)",0.513,115,123.899,0.0,0.0,0.0,16
"(i_gaze_at;infant_voc)","(mother-speech;inf_smile)",0.156,23,15.394,0.043478260869565216,0.7391304347826086,0.08695652173913043,23
"(m_gaze_at;mother-speech)","(inf_smile)",0.358,91,157.298,0.047619047619047616,0.12698412698412698,0.0,63
"(mo_smile;m_gaze_at;i_gaze_at)","(inf_smile)",0.374,94,199.425,0.25,0.0,0.0,8
"(m_gaze_away)","(mo_smile)",0.649,6,40.918,0.0,0.8421052631578947,0.0,95
"(m_gaze_at;mother-speech;infant_voc)","(i_gaze_at;inf_smile)",0.287,4,4.614,0.0,0.9166666666666666,0.08333333333333333,12
"(m_gaze_at;inf_smile)","(i_gaze_away)",0.141,36,65.025,0.6142857142857143,0.02857142857142857,0.6428571428571429,70
"(mother-speech;i_gaze_at;infant_voc)","(inf_smile)",0.366,6,5.495,0.02702702702702703,0.5675675675675675,0.40540540540540543,37
"(mother-speech;inf_smile)","(m_gaze_at;i_gaze_at)",0.401,28,90.437,0.0,0.9298245614035088,0.0,57
"(mo_smile;infant_voc)","(mother-speech;inf_smile)",0.197,15,10.264,0.0,0.6764705882352942,0.14705882352941177,34
"(mo_smile;i_gaze_at)","(m_gaze_at_object)",0.175,117,134.043,1.0,0.0,1.0,52
