"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mother-speech;i_gaze_at;inf_smile)","(mother-speech;i_gaze_at;inf_smile)",0.0,1.0,0.0,23
"(mother-speech)","(mother-speech)",0.0,0.64,0.0,100
"(inf_smile)","(inf_smile)",0.08064516129032258,0.9838709677419355,0.04838709677419355,62
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.8666666666666667,0.0,30
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.019230769230769232,0.0,52
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",1.0,0.0,0.4117647058823529,17
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.9534883720930233,0.0,43
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.05660377358490566,0.0,0.0,53
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,19
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,68
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.8,0.0,5
"(mo_smile;inf_smile;i_gaze_away)","(mo_smile;inf_smile;i_gaze_away)",0.3333333333333333,0.08333333333333333,0.0,12
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.6153846153846154,0.0,13
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.9473684210526315,0.05263157894736842,76
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,35
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,15
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.0,0.0,0.0,5
"(m_gaze_at)","(m_gaze_at)",0.0,0.46,0.0,100
"(mo_smile)","(mo_smile)",0.0,0.99,0.0,100
"(i_gaze_away)","(i_gaze_away)",0.01,0.26,0.04,100
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.7941176470588235,0.058823529411764705,68
"(m_gaze_away;i_gaze_at_object)","(m_gaze_away;i_gaze_at_object)",0.09090909090909091,1.0,0.0,11
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,1.0,0.0,76
"(mo_smile)","(mo_smile)",0.0,0.016129032258064516,0.0,62
"(m_gaze_at)","(m_gaze_at)",0.0,0.07692307692307693,0.0,52
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.6,0.0,25
"(mo_smile)","(mo_smile)",0.0,0.11842105263157894,0.0,76
"(m_gaze_at;inf_smile;i_gaze_away)","(m_gaze_at;inf_smile;i_gaze_away)",0.0,0.0,0.0,7
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.2,0.4,0.0,5
"(m_gaze_at_object)","(m_gaze_at_object)",0.1,0.02,0.25,100
"(mo_smile)","(mo_smile)",0.0,0.15789473684210525,0.0,76
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.13793103448275862,0.0,0.0,58
"(m_gaze_at)","(m_gaze_at)",0.0,0.36,0.0,100
"(m_gaze_at;i_gaze_away)","(m_gaze_at;i_gaze_away)",0.038461538461538464,1.0,0.46153846153846156,26
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.13333333333333333,0.0,15
"(m_gaze_at;inf_smile;i_gaze_away)","(m_gaze_at;inf_smile;i_gaze_away)",0.023809523809523808,0.8571428571428571,0.14285714285714285,42
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.014705882352941176,0.8529411764705882,0.0,68
"(mo_smile)","(mo_smile)",0.0,0.09090909090909091,0.0,11
"(i_gaze_at)","(i_gaze_at)",0.0,0.93,0.0,100
"(infant_voc)","(infant_voc)",0.0,0.96,0.02,50
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.018867924528301886,0.7547169811320755,0.0,53
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,1.0,0.0,50
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.018518518518518517,0.0,0.0,54
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.0,0.0,17
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.016129032258064516,0.0,0.0,62
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.25,0.0,0.0,8
"(inf_smile)","(inf_smile)",0.0,0.9047619047619048,0.0,42
"(mother-speech)","(mother-speech)",0.0,0.4583333333333333,0.0,48
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6,0.0,15
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.07692307692307693,0.0,13
