"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at;mother-speech)",0.111,7,8.71,0.5,0.3333333333333333,0.0,6
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_at)",0.471,12,165.497,0.0,0.34,0.0,100
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.264,44,65.196,0.09,0.01,0.0,100
"(m_gaze_at;mother-speech)","(inf_smile)",0.142,49,142.143,0.25252525252525254,0.010101010101010102,0.010101010101010102,99
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.154,73,78.431,0.0,0.02564102564102564,0.0,39
"(inf_smile;mo_smile)","(mother-speech)",0.327,130,166.415,0.14,0.0,0.01,100
"(i_gaze_at;mo_smile)","(inf_smile;m_gaze_at)",0.224,107,206.328,0.0,0.0,0.0,99
"(i_gaze_at)","(inf_smile)",0.254,254,545.263,0.64,0.0,0.63,100
"(i_gaze_at;inf_smile)","(m_gaze_at;mother-speech)",0.25,116,146.278,0.0,0.72,0.02,100
"(inf_smile;mother-speech)","(i_gaze_at;mo_smile)",0.136,7,69.98,0.0,1.0,0.0,10
"(m_gaze_at;mo_smile;mother-speech)","(i_gaze_at)",0.29,9,127.974,0.0,0.24742268041237114,0.0,97
"(inf_smile;infant_voc;m_gaze_at)","(i_gaze_at;mo_smile)",0.126,1,10.875,0.2,1.0,0.0,5
"(i_gaze_at;m_gaze_at)","(mo_smile;mother-speech)",0.186,290,270.646,0.0,0.0,0.0,99
"(inf_smile;infant_voc;m_gaze_at)","(mo_smile)",0.146,2,12.564,0.22580645161290322,0.5161290322580645,0.03225806451612903,31
"(m_gaze_at)","(i_gaze_at;mo_smile)",0.299,215,637.164,0.0,0.0,0.0,100
"(inf_smile)","(i_gaze_at;m_gaze_at;mo_smile)",0.168,67,188.006,0.0,0.5454545454545454,0.0,77
"(i_gaze_at;mo_smile)","(m_gaze_at_object)",0.132,93,121.965,1.0,0.01,1.0,100
"(i_gaze_at)","(m_gaze_at;mo_smile)",0.3,281,642.73,0.0,0.0,0.0,100
"(i_gaze_at)","(mo_smile)",0.395,231,847.197,0.0,0.01,0.0,100
