"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,21
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.5384615384615384,0.0,13
"(mother-speech;i_gaze_at;infant_voc)","(mother-speech;i_gaze_at;infant_voc)",0.0,1.0,0.0,7
"(mother-speech;m_gaze_at_object)","(mother-speech;m_gaze_at_object)",0.02702702702702703,0.972972972972973,0.6216216216216216,37
"(i_gaze_at)","(i_gaze_at)",0.3090909090909091,0.03636363636363636,0.2545454545454545,55
"(m_gaze_at;mother-speech;inf_smile;i_gaze_away)","(m_gaze_at;mother-speech;inf_smile;i_gaze_away)",0.047619047619047616,0.8095238095238095,0.5238095238095238,21
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.6,0.0,25
"(mo_smile)","(mo_smile)",0.0,0.17105263157894737,0.0,76
"(mo_smile)","(mo_smile)",0.0,0.16666666666666666,0.0,78
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.057971014492753624,0.0,0.0,69
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.3333333333333333,0.0,6
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.8088235294117647,0.0,68
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.2857142857142857,0.0,0.0,7
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.05357142857142857,0.017857142857142856,0.0,56
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.0,0.0,17
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.043478260869565216,0.7391304347826086,0.08695652173913043,23
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.04838709677419355,0.12903225806451613,0.0,62
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.25,0.0,0.0,8
"(m_gaze_away)","(m_gaze_away)",0.0,0.8421052631578947,0.0,95
"(m_gaze_at;mother-speech;infant_voc)","(m_gaze_at;mother-speech;infant_voc)",0.0,0.9166666666666666,0.08333333333333333,12
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.6086956521739131,0.028985507246376812,0.6376811594202898,69
"(mother-speech;i_gaze_at;infant_voc)","(mother-speech;i_gaze_at;infant_voc)",0.02631578947368421,0.5526315789473685,0.39473684210526316,38
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.9464285714285714,0.0,56
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6857142857142857,0.14285714285714285,35
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",1.0,0.0,1.0,52
"(inf_smile;m_gaze_at_object)","(inf_smile;m_gaze_at_object)",0.0,0.29411764705882354,0.0,17
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,50
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6,0.0,5
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.0,0.25,0.0,8
"(inf_smile)","(inf_smile)",0.0,0.9807692307692307,0.0,52
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,25
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.29545454545454547,0.0,44
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.0,0.6666666666666666,0.0,9
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.4666666666666667,0.0,45
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.0,0.0,5
"(inf_smile)","(inf_smile)",0.0,0.52,0.0,25
"(m_gaze_at)","(m_gaze_at)",0.0,0.85,0.0,100
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,44
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.7142857142857143,0.0,14
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.11428571428571428,0.4,0.0,35
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.02,0.96,0.12,50
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.35,0.0,20
"(mother-speech)","(mother-speech)",0.0,0.9245283018867925,0.0,53
"(mother-speech)","(mother-speech)",0.0,0.52,0.0,25
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.014492753623188406,0.2898550724637681,0.10144927536231885,69
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.08695652173913043,0.5869565217391305,0.0,46
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",0.0,0.4782608695652174,0.0,23
"(m_gaze_at;mother-speech;i_gaze_at)","(m_gaze_at;mother-speech;i_gaze_at)",0.0,0.0,0.0,42
"(mo_smile)","(mo_smile)",0.0,0.3783783783783784,0.0,74
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",0.0,0.5714285714285714,0.0,7
